Time (ms),Name,Value
4661,"getRPMbottom","-12.277297973632812"
4685,"getRPMbottom","-18.472198486328125"
4700,"getRPMbottom","-20.639663696289062"
4746,"getRPMbottom","-24.460342407226562"
4767,"getRPMbottom","-18.912673950195312"
4782,"getRPMbottom","-16.760513305664062"
4801,"getRPMbottom","-14.595718383789062"
4836,"getRPMbottom","-6.9189300537109375"
4880,"getRPMbottom","6.9189300537109375"
4915,"getRPMbottom","2.6645050048828125"
4936,"getRPMbottom","5.114013671875"
4967,"getRPMbottom","9.903167724609375"
4984,"getRPMbottom","12.028427124023438"
5003,"getRPMbottom","13.0369873046875"
5037,"getRPMbottom","11.274307250976562"
5064,"getRPMbottom","6.5341796875"
5087,"getRPMbottom","-6.5341796875"
5103,"getRPMbottom","-3.2010650634765625"
5170,"getRPMbottom","2.490936279296875"
5206,"getRPMbottom","6.13604736328125"
5224,"getRPMbottom","7.9168243408203125"
5267,"getRPMbottom","9.002334594726562"
5267,"getRPMbottom","11.380096435546875"
5288,"getRPMbottom","12.07537841796875"
5305,"getRPMbottom","11.443191528320312"
5329,"getRPMbottom","11.096908569335938"
5340,"getRPMbottom","9.539230346679688"
5438,"getRPMbottom","0.0"
5741,"getRPMbottom","-6.570648193359375"
5762,"getRPMbottom","-16.662704467773438"
5785,"getRPMbottom","-21.805191040039062"
5803,"getRPMbottom","-20.82861328125"
5839,"getRPMbottom","-17.523101806640625"
5876,"getRPMbottom","-12.411865234375"
5904,"getRPMbottom","-8.600173950195312"
5968,"getRPMbottom","2.8853759765625"
6064,"getRPMbottom","0.0"
6190,"getRPMbottom","4.2509002685546875"
6190,"getRPMbottom","5.84429931640625"
6203,"getRPMbottom","6.3541107177734375"
6249,"getRPMbottom","6.246826171875"
6281,"getRPMbottom","5.112060546875"
6363,"getRPMbottom","0.0"
6423,"getRPMbottom","-5.4725189208984375"
6443,"getRPMbottom","-7.5278472900390625"
6464,"getRPMbottom","-6.5783538818359375"
6520,"getRPMbottom","6.5783538818359375"
6522,"getRPMbottom","2.5745086669921875"
6560,"getRPMbottom","15.126068115234375"
6567,"getRPMbottom","18.65179443359375"
6592,"getRPMbottom","18.217300415039062"
6615,"getRPMbottom","17.839263916015625"
6642,"getRPMbottom","15.0614013671875"
6670,"getRPMbottom","9.2098388671875"
6702,"getRPMbottom","-9.2098388671875"
6741,"getRPMbottom","-3.0060272216796875"
6769,"getRPMbottom","-6.3564453125"
6782,"getRPMbottom","-5.8980255126953125"
6878,"getRPMbottom","0.0"
7511,"getRPMbottom","-2.4787750244140625"
7563,"getRPMbottom","-8.452728271484375"
7592,"getRPMbottom","9.6724853515625"
7622,"getRPMbottom","21.900665283203125"
7644,"getRPMbottom","15.37213134765625"
7669,"getRPMbottom","12.762283325195312"
7712,"getRPMbottom","-4.6898193359375"
7754,"getRPMbottom","-13.002349853515625"
7768,"getRPMbottom","-10.242385864257812"
7813,"getRPMbottom","10.242385864257812"
7823,"getRPMbottom","2.5712127685546875"
7844,"getRPMbottom","10.139724731445312"
7870,"getRPMbottom","5.3732757568359375"
7914,"getRPMbottom","-4.734893798828125"
7927,"getRPMbottom","-7.2424163818359375"
7965,"getRPMbottom","7.2424163818359375"
7998,"getRPMbottom","12.074386596679688"
8030,"getRPMbottom","13.57012939453125"
8064,"getRPMbottom","12.639785766601562"
8064,"getRPMbottom","8.119033813476562"
8080,"getRPMbottom","-8.119033813476562"
8105,"getRPMbottom","-2.9997711181640625"
8129,"getRPMbottom","-6.4755401611328125"
8170,"getRPMbottom","-5.0678863525390625"
8270,"getRPMbottom","0.0"
8887,"getRPMbottom","-3.964569091796875"
8937,"getRPMbottom","-4.1828765869140625"
8994,"getRPMbottom","-3.22943115234375"
8999,"getRPMbottom","-5.50384521484375"
9041,"getRPMbottom","-12.989578247070312"
9041,"getRPMbottom","-21.5814208984375"
9068,"getRPMbottom","-22.278656005859375"
9087,"getRPMbottom","-22.546890258789062"
9103,"getRPMbottom","-17.75482177734375"
9126,"getRPMbottom","-19.258346557617188"
9143,"getRPMbottom","-18.489501953125"
9182,"getRPMbottom","-21.312698364257812"
9202,"getRPMbottom","-24.731430053710938"
9236,"getRPMbottom","-26.802017211914062"
9268,"getRPMbottom","-27.087051391601562"
9282,"getRPMbottom","-28.226455688476562"
9309,"getRPMbottom","-31.453948974609375"
9321,"getRPMbottom","-31.663101196289062"
9346,"getRPMbottom","-30.631622314453125"
9371,"getRPMbottom","-27.943405151367188"
9384,"getRPMbottom","-25.756927490234375"
9406,"getRPMbottom","-24.720657348632812"
9422,"getRPMbottom","-24.430755615234375"
9440,"getRPMbottom","-21.7314453125"
9476,"getRPMbottom","-16.941543579101562"
9529,"getRPMbottom","-13.98358154296875"
9530,"getRPMbottom","-13.947067260742188"
